lemma	codlem	gen	codmorf	keep	throwLst
schema	N3B	n	NcC	s0614	DCG19
scholares	N3B	m	NcC	s0626	DCG48
scholarius	N2/1	*	Af-	s0627	DCG4E
scholasticus	N2	m	NcB	s0628	DCG50
securis	N3B	f	NcC	s0894	DD0C6,DD0CG
seges	N3B	f	NcC	s0934	DD108
sido	V3		VmH	s9912	DD4D7
signifer	N2	m	NcB	s1616	DD50A
sisto	V3		VmH	s1791	DD61E
sitarchia	N1	f	NcA	s1799	DD62C
sol	N3B	m	NcC	s1867	DD6EB,DD6EA
soliar	N3B	n	NcC	s1891	DD72F
specular	N3B	n	NcC	s2124	DD925
sphragitis	N3B	f	NcC	s2174	DD97D
sponsalia	N3B	n	NcC	s2273	DDA08
stater	N3B	m	NcC	s2385	DDB67
stema	N3B	n	NcC	DDBEE	DDBEF
strues	N3B	f	NcC	s2637	DDDBG
struthio	N3B	m	NcC	s2650	DDDD7
subcustos	N3B	m	NcC	s2804	DDE83
subligar	N3B	n	NcC	s2939	DDEF5
subsisto	V3		VmH	s3133	DDF5B
sudis	N3B	m	NcC	s3329	DDG02
sufficio	V5		VmM	s3351	DDG24
suffulcio	V4		VmL	s3389	DDG4F
sum	VA		VaN	s3436	D5DAA
supernas	N3B	m	NcC	s3639	DDH68
supersum	VA		VmN	s3704	DDH24
sustineo	V2		VmG	s3878	DE08C,DE08B
symplegas	N3B	f	NcC	s3934	DE0DA
synaxis	N3B	f	NcC	s3946	DE0E4
teres	N3A	*	Af-	t0340	DEH0H
terminus	N2	m	NcB	t0361	DEH42,DEH47,DEH43,DEH44,DEH45,DEH46
testis	N3B	m	NcC	DF024	DF025
tetrans	N3B	m	NcC	t0481	DF048
theatrum	N2	n	NcB	t0542	DF0BA
thoracium	N2	n	NcB	t0617	DF134
thyrsus	N2	m	NcB	t0664	DF172
trabes	N3B	f	NcC	DF3E3	DF3E4
tragemata	N3B	n	NcC	t0936	DF437
transpungo	V3		VmH	t1087	DF4EB
transumo	V3		VmH	t1113	DF4GA
triens	N3B	m	NcC	t1240	DF63C
trochlea	N1	f	NcA	t1434	DF6H5
turpedo	N3B	f	NcC	t1801	DF877
turriger	N2/1	*	Af-	t1813	DF88H
ualedico	V3		VmH	u0047	DE1B9
uas	N3B	n	NcC	u0132	DE28D,DE28F,DE28G,DE290,DE28C
uectis	N3B	m	NcC	u0191	DE31C
uenio	V4		VmL	u0300	DE3EG
uenter	N3B	m	NcC	u0304	DE3G7
uerro	V3		VmH	u0417	DE4D4,DE4D5
uestis	N3B	f	NcC	u0515	DE568,DE569
uictualia	N3B	n	NcC	u0621	DE63G
uigeo	V2		VmG	u0636	DE67F
uis	N3B	f	NcC	u0804	DE7D5,DE7D6,DE7D7,DE7D8
uitalia	N3B	n	NcC	u0838	DE803
uitalis	N3A	*	Af-	u0838	DE804
uitis	N3B	f	NcC	u0869	DE813
ulcus	N3B	n	NcC	u0922	DE871
umecta	N2	n	NcB	u0983	DE8A9
umerus	N2	m	NcB	u0988	DE8AB
