lemma	codlem	gen	codmorf	keep	throwLst
crudito	V1		VmF	c4445	D49GD
crumino	V1		VmF	c4453	D49H7
cubo	V1		VmF	c4494	D4A32
cuculo	V1		VmF	c4504	D4A72
culmino	V1		VmF	c4559	D4ADA
cunio	V4		VmL	c4639	D4B4D
cuso	V1		VmF	c4743	D4C65
damnifico	V1		VmF	d0035	D4D4B
decachinno	V1		VmF	d0115	D4DH2
decarno	V1		VmF	d0135	D4E24
decepto	V1		VmF	d0171	D4E41
decolo	V1		VmF	d0229	D4E84
deconcilio	V1		VmF	d0235	D4E8C
decubo	V1		VmF	d0260	D4EB8
dedamno	V1		VmF	d0296	D4EE1
defiguro	V1		VmF	d0369	D4F45
deflammo	V1		VmF	d0381	D4F4E
defrico	V1		VmF	d0413	D4F6H
defrusto	V1		VmF	d0419	D4F7A
defugo	V1		VmF	d0426	D4F7D
defusto	V1		VmF	d0434	D4F80
degenio	V1		VmF	d0439	D4F8G
degrado	V1		VmF	d0447	D4F9D
deifico	V1		VmF	d0486	D4FCB
deiudico	V1		VmF	d0497	D4FE3
delauo	V1		VmF	d9510	D4FF8
deleo	V2		VmG	d0529	D4FG6
delico	V1		VmF	d0558	D4FHD
delitigo	V1		VmF	d0584	D4G15,D4G16
dementio	V4		VmL	d0620	D4G5C,D4G5B
demoror	V1		VmF	d0657	D4G78
denigro	V1		VmF	d0694	D4GA7
deoperio	V4		VmL	d0746	D4GE0
depleo	V2		VmG	d0799	D4GH7
deplico	V1		VmF	d0802	D4GH8,D4GH9
depompo	V1		VmF	d0815	D4GHG
depraesento	V1		VmF	d0842	D4H20
depulso	V1		VmF	d0880	D4H3C
desanno	V1		VmF	d0929	D4H8D
descrobo	V1		VmF	d0942	D4HBF
deseruio	V4		VmL	d0957	D4HD2,D4HD3
despecto	V1		VmF	d0996	D4HH5,D4HH6
despico	V1		VmF	d8009	D5006
despicor	V1		VmF	d8008	D5008
destico	V1		VmF	d1023	D502G
detento	V1		VmF	d1077	D505H
deterioro	V1		VmF	d1083	D5066
deuenio	V4		VmL	d1139	D509E
deuenusto	V1		VmF	d1140	D50A0
dictaturio	V4		VmL	d1358	D5178
dicturio	V4		VmL	d1368	D5184
diffibulo	V1		VmF	d1388	D51CB
diffirmo	V1		VmF	d1397	D51DG
difio	V4		VmL	D51DB	D51DC
digladior	V1		VmF	d1436	D51G2
dignoro	V1		VmF	d1443	D51H8
dimidio	V1		VmF	d1613	D5231
discarico	V1		VmF	d1693	D52D0
disconuenio	V4		VmL	d1732	D52GC
discooperio	V4		VmL	d1733	D52GE
discordo	V1		VmF	d1741	D52H1
discorio	V1		VmF	d1744	D52H4
disglutino	V1		VmF	d1791	D532C
displano	V1		VmF	d1843	D5391
displico	V1		VmF	d1845	D5394
dispuluero	V1		VmF	d1855	D53AD
dissigillo	V1		VmF	d1899	D53D5
distempero	V1		VmF	d1945	D53F8
diurno	V1		VmF	d2053	D5467
dogmatizo	V1		VmF	d2102	D54C9
dominor	V1		VmF	d2151	D551F
drenso	V1		VmF	d2224	D562D
dubo	V1		VmF	d2264	D5675
dulcifico	V1		VmF	d2302	D56FB
dulcoro	V1		VmF	d7315	D56G4
duplo	V1		VmF	d2378	D5711,D5712
edulco	V1		VmF	e0109	D57HG
effecundo	V1		VmF	e0121	D581D
efflicto	V1		VmF	e0156	D583D
effrutico	V1		VmF	e0180	D585C
effumo	V1		VmF	e0192	D5862
egurgito	V1		VmF	e0225	D58A7
elauo	V1		VmF	e0269	D58D8
elimpido	V1		VmF	e0326	D5918
elongo	V1		VmF	e0358	D5938,D5939,D5937
emasculo	V1		VmF	e0408	D5968
ematuro	V1		VmF	e9409	D596C
enundino	V1		VmF	e0647	D5ADH
eructuo	V1		VmF	e0933	D5C31
esco	V1		VmF	e0978	D5CF7
exalapo	V1		VmF	e1200	D5EG1
exaperio	V4		VmL	e1231	D5F10
exapto	V1		VmF	e1232	D5F12
exauspico	V1		VmF	e1263	D5F39
exballisto	V1		VmF	e1264	D5F3C
excaldo	V1		VmF	e1273	D5F4G
excerebro	V1		VmF	e1299	D5F80
exclaro	V1		VmF	e1328	D5F9H,D5FA0
excodico	V1		VmF	e1333	D5FB1
excommunico	V1		VmF	e1355	D5FBF
excortico	V1		VmF	e1365	D5FD6,D5FD7
excubo	V1		VmF	e1384	D5FE5,D5FE6
exdorsuo	V1		VmF	e1411	D5FHE
exemplo	V1		VmF	e1427	D5G1E,D5G1A,D5G1B,D5G1C,D5G1D
exfibulo	V1		VmF	e1452	D5G65
exfolio	V1		VmF	e1453	D5G68
expompo	V1		VmF	e1652	D5H6G
exprompto	V1		VmF	e1678	D5H8F
expumico	V1		VmF	e1694	D5H95
exsumptuo	V1		VmF	e1814	D5HCA
exsuppuro	V1		VmF	e1820	D5HCC
extimo	V1		VmF	e1862	D5HFF
extraneo	V1		VmF	e1879	D6006,D6007
extro	V1		VmF	e1888	D601G
extussio	V4		VmL	e1899	D6026
exungulo	V1		VmF	e1916	D6037
fabrio	V4		VmL	f0026	D6086,D6088
facillo	V1		VmF	f9045	D60C4
falcito	V1		VmF	f0116	D6152
famigero	V1		VmF	f0161	D61EE
febrio	V4		VmL	f0311	D631F
felio	V4		VmL	f0326	D6353
fellito	V1		VmF	f0337	D635A
femino	V1		VmF	f0348	D6370
ferio	V4		VmL	f0370	D63F7,D63F8
ferito	V1		VmF	f0373	D63FB,D63FA
feto	V1		VmF	f0450	D6493
fidicino	V1		VmF	f0498	D64HA
filo	V1		VmF	f9540	D6533
flammigo	V1		VmF	f0639	D667H
flato	V1		VmF	f0651	D66A3
fluento	V1		VmF	f0719	D672G
fluido	V1		VmF	f0721	D6731
foculo	V1		VmF	f0752	D6783
foetido	V1		VmF	f0765	D67BF
follico	V1		VmF	f0782	D67H8
fomento	V1		VmF	f0793	D680F,D680E
forfico	V1		VmF	f0820	D68C7
formico	V1		VmF	f0844	D6920
formoso	V1		VmF	f0859	D6933
fortifico	V1		VmF	f0887	D69B6
frigefacto	V1		VmF	f0993	D6BA3
fritinnio	V4		VmL	f1015	D6BF1
fulcio	V4		VmL	f1106	D6CCH
fumo	V1		VmF	f1155	D6CGC
furio	V4		VmL	f1222	D6D95
fustigo	V1		VmF	f1255	D6DGH
galeo	V1		VmF	g0034	D6ED2
garrulo	V1		VmF	g0093	D6G43
glorior	V1		VmF	g0409	D715A
graccito	V1		VmF	g0476	D7229
grandio	V4		VmL	g0537	D72BB,D72BD
grator	V1		VmF	g0571	D7300
gratulor	V1		VmF	g0578	D732C
grillo	V1		VmF	g0615	D73CB
habiturio	V4		VmL	h0018	D75G8
herbido	V1		VmF	h0276	D77FH
herbo	V1		VmF	h0283	D77E5
heredito	V1		VmF	h0295	D7808,D7809,D780A,D7807
hippaco	V1		VmF	h0404	D78HB
hippito	V1		VmF	h0410	D78HE
