LiLaRef	LemLatLST	lemmaLST
lemma/108299	148178(D81H1),21081(i2166)	insucco,insuco
lemma/108359	111982(D8238),21154(i2223)	intellegentia,intelligentia
lemma/108367	111983(D823A),21156(i2231)	intellego,intelligo
lemma/108381	112011(D8258),21171(i2244)	intemptatus,intentatus
lemma/108448	152766(D8299),21242(i2307)	interdo,interduo
lemma/108715	148783(D831E),21522(i2560)	intingo,intinguo
lemma/108752	112035(D8268),21567(i2596)	intero,intro
lemma/108769	112280(D836A),21591(i2617)	introuersus,introuorsus
lemma/108883	152386(D804A),21717(i2724)	inhumigo,inumigo
lemma/108889	148210(D83DE),21722(i2729)	inungo,inunguo
lemma/108924	112399(D83G0),21763(i2763)	ioco,iocor
lemma/108965	148212(D8477),21879(i2797)	irri'to,irrito
lemma/108968	109683(D7B52),21808(i2800)	hyrpex,irpex
lemma/108969	109020(D7912),21809(i2801)	hirpus,irpus
lemma/108970	149433(D811F),21810(i2802)	inradio,irradio
lemma/108973	111700(D8120),21816(i2805)	inrationalis,irrationalis
lemma/108974	111698(D811G),21815(i2806)	inrationabilitas,irrationabilitas
lemma/108996	111708(D812A),21837(i2828)	inreligiositas,irreligiositas
lemma/109014	111713(D812F),21855(i2846)	inreptio,irreptio
lemma/109030	111716(D8130),21872(i2862)	inreuerens,irreuerens
lemma/109044	111719(D8134),21887(i2874)	inriguus,irriguus
lemma/109056	111721(D8137),21900(i2886)	inritatrix,irritatrix
lemma/109057	148212(D8477),21878(i2887)	irri"to,irrito
lemma/109065	150124(D8138),21910(i2894)	inroto,irroto
lemma/109119	99840(D5D59),21966(i2944)	esox,isox
lemma/109159	148213(D83H1),22018(i2988)	iocundo,iucundo
lemma/109213	112765(D8519),22074(i3034)	iuncetum,iunchetum
lemma/109442	111714(D812H),21865(i7855)	inrespirabilis,irrespirabilis
lemma/109575	99450(D5BGE),21797(i9916)	erinaceus,irenaceus
lemma/109592	84707(D2E0A),22183(k0002)	calendae,kalendae
lemma/109593	84708(D2E0C),22184(k0003)	calendarium,kalendarium
lemma/109605	113190(D868C),113191(D868D),22190(l0011)	la'bellum,labellum
lemma/109606	113205(D869F),22205(l0012)	labeo,labio
